SYLLABARY,PRONUNCIATION,ACTOR,ACTEE,SET,IMP FORM SYLLABARY,IMP FORM ROMAN
Ꮩ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-,Do¹gị²nạ²da²[d]-,"He and I, we",each other,b,Ꮶ¹Ꭹ̣²Ꮎ̣²Ꮣ²-,jo¹gị²nạ²da²[d]-
Ꮩ¹ᏍᏓ̣²Ꮣ²[Ꮣ͓]-,Do¹sdạ²da²[d]-,"He and I, we",each other,a,Ꮶ¹ᏍᏓ̣²Ꮣ²-,jo¹sdạ²da²[d]
Ꮣ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,Da¹nạ²da²[d]-,They,each other,a,Ꮧ̣²Ꮎ̣²Ꮣ²-,Dị²nạda²[d]-
Ꮪ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,Du¹nạ²da²[d]-,They,each other,b,Ꮷ¹Ꮎ̣²Ꮣ²-,ju¹nạ²da²[d]-
Ꮩ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-,Do¹gạ²da²[d]-,"They and I, we",each other,b,Ꮶ¹Ꭶ̣²Ꮣ²-,jo¹gạ²da²[d]-
Ꮩ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-,Do¹jạ²da²[d]-,"They and I, we",each other,a,Ꮶ¹Ꮳ̣²Ꮣ²-,jo¹jạ²da²[d]-
Ꮥ³Ꮳ̣²Ꮣ²[Ꮣ͓]-,De³jạ²da²[d]-,You all,each other,,Ꮧ̣²Ꮳ̣²Ꮣ²-,Dị²jạ²da²[d]-
Ꮥ³Ꭶ̣²Ꮣ²[Ꮣ͓]-,De³gạ²da²[d]-,"You all and I, we",each other,b,Ꮧ̣²Ꭶ̣²Ꮣ²-,Dị²gạ²da²[d]-
Ꮥ³Ꮣ̣²Ꮣ²[Ꮣ͓]-,De³dạ²da²[d]-,"You all and I, we",each other,a,Ꮧ̣²Ꮣ̣²Ꮣ²-,Dị²dạ²da²[d]-
Ꮥ²Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-,De²gị²nạ²da²[d]-,"You one and I, we",each other,b,Ꮧ̣²Ꭹ̣²Ꮎ̣²Ꮣ²-,Dị²gị²nạ²da²[d]-
Ꮥ³Ꮎ̣²Ꮣ²[Ꮣ͓]-,De³nạ²da²[d]-,"You one and I, we",each other,a,Ꮧ̣²Ꮎ̣²Ꮣ²-,Dị²nạ²da²[d]-
Ꮥ²ᏍᏓ̣²Ꮣ²[Ꮣ͓]-,De²sdạ²da²[d]-,You two,each other,,Ꮧ̣²ᏍᏓ̣²Ꮣ²-,Dị²sdạ²da²[d]-
"Ꭰ¹Ꮵ̣²-, Ꭰ¹Ꭶ͓-","A¹jị²-, A¹g-",,He,,,
Ꭳ¹Ꭹ̣²Ꮒ²-,O¹gị²ni²-,,"He and I, we",,,
"Ꭰ̣²-, Ꭶ̣²-","Ạ²-, Gạ²-",He,him,a,,
"Ꭴ¹-, Ꭴ¹Ꮹ͓-","U¹-, U¹w-",He,him,b,,
Ꭳ¹ᏍᏗ²-,O¹sdi²-,"He and I, we",him,,,
"Ꮵ²-, Ꮵ²Ꮿ͓-","Ji²-, Ji²y-",I,him,,,
Ꭰ¹Ꮒ²-,A¹ni²-,They,him,a,,
Ꭴ¹Ꮒ²-,U¹ni²-,They,him,b,,
Ꭳ¹Ꮵ²-,O¹ji²-,"They and I, we",him,,,
Ꭱ¹Ꮵ²-,E¹ji²-,You all,him,,,
Ꭱ¹Ꮧ²-,E¹di²-,"You all and I, we",him,,,
"Ꭿ²-, Ꭿ²Ꮿ͓-","Hi²-, Hi²y-",You one,him,,,
Ꭱ¹Ꮒ²-,E¹ni²-,"You one and I, we",him,,,
Ꭱ¹ᏍᏗ²-,E¹sdi²-,You two,him,,,
Ꭰ¹Ꮣ²[Ꮣ͓]-,A¹da²[d]-,He,himself,a,,
Ꭴ¹Ꮣ²[Ꮣ͓]-,U¹da²[d]-,He,himself,b,,
"Ꭵ¹Ꭹ̣²-, Ꭵ¹Ꮖ͓-","V¹gị²-, V¹gw-",,I,,,
"Ꭰ̣²-, Ꭶ̣²-","Ạ²-, Gạ²-",He,it,a,,
"Ꭴ¹-, Ꭴ¹Ꮹ͓-","U¹-, U¹w-",He,it,b,,
Ꭳ¹Ꭹ̣²Ꮒ²-,O¹gị²ni²-,"He and I, we",it,b,,
Ꭳ¹ᏍᏗ²-,O²sdi²-,"He and I, we",it,a,,
"Ꭰ¹Ꭹ̣²-, Ꭰ¹Ꮖ͓-","A¹gị²-, A¹gw-",I,it,b,,
"Ꮵ̣²-, Ꭶ͓-","Jị²-, G-",I,it,a,,
Ꭰ¹Ꮒ²-,A¹ni²-,They,it,a,,
Ꭴ¹Ꮒ²-,U¹ni²-,They,it,b,,
Ꭳ¹Ꭹ²-,O¹gi²-,"They and I, we",it,b,,
Ꭳ¹Ꮵ²-,O¹ji²-,"They and I, we",it,a,,
Ꭲ¹Ꮵ²-,I¹ji²-,You all,it,,,
Ꭲ¹Ꭹ²-,I¹gi²-,"You all and I, we",it,b,,
Ꭲ¹Ꮧ²-,I¹di²-,"You all and I, we",it,a,,
Ꭿ̣²-,Hị²-,You one,it,a,,
Ꮳ̣²-,Jạ²-,You one,it,b,,
Ꭲ¹Ꮒ²-,I¹ni²-,"You one and I, we",it,a,,
Ꭹ̣²Ꮒ²-,Gị²ni²-,"You one and I, we",it,b,,
ᏍᏗ²-,Sdi²-,You two,it,,,
"Ꭰ¹Ꭹ̣²-, Ꭰ¹Ꮖ͓-","A¹gị²-, A¹gw-",He,me,,,
"Ꭼ²Ꭹ̣²-, Ꭼ²Ꮖ͓-","Gv²gi²-, Gv²gw-",They,me,,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You all,me,,,
"ᏍᎩ̣²-, ᏍᏆ͓-","Sgị²-, Sgw-",You one,me,,,
ᏍᎩ̣²Ꮒ²-,Sgị²ni²-,You two,me,,,
Ꭰ¹Ꮖ̣²Ꮣ²[Ꮣ͓]-,A¹gwạ²da²[d]-,I,myself,b,,
Ꭶ̣²Ꮣ²[Ꮣ͓]-,Gạ²da²[d]-,I,myself,a,,
