SYLLABARY,PRONUNCIATION,ACTOR,ACTEE,SET,IMP FORM SYLLABARY,IMP FORM ROMAN
"Ꭰ¹Ꭹ̣²-, Ꭰ¹Ꮖ͓-","A¹gị²-, A¹gw-",He,me,,,
"Ꭰ¹Ꭹ̣²-, Ꭰ¹Ꮖ͓-","A¹gị²-, A¹gw-",I,it,b,,
Ꭰ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,A¹nạ²da²[d]-,They,themselves,a,,
Ꭰ¹Ꮒ²-,A¹ni²-,They,him,a,,
Ꭰ¹Ꮒ²-,A¹ni²-,They,it,a,,
Ꭰ¹Ꮖ̣²Ꮣ²[Ꮣ͓]-,A¹gwạ²da²[d]-,I,myself,b,,
Ꭰ¹Ꮣ²[Ꮣ͓]-,A¹da²[d]-,He,himself,a,,
"Ꭰ¹Ꮵ̣²-, Ꭰ¹Ꭶ͓-","A¹jị²-, A¹g-",,He,,,
"Ꭰ̣²-, Ꭶ̣²-","Ạ²-, Gạ²-",He,him,a,,
"Ꭰ̣²-, Ꭶ̣²-","Ạ²-, Gạ²-",He,it,a,,
Ꭱ¹Ꭹ²-,E¹gi²-,,"You all and I, we",,,
Ꭱ¹Ꭹ̣²Ꮒ²-,E¹gị²ni²-,,"You one and I, we",,,
Ꭱ¹Ꮒ²-,E¹ni²-,"You one and I, we",him,,,
Ꭱ¹ᏍᏗ²-,E¹sdi²-,You two,him,,,
Ꭱ¹ᏍᏗ²-,E¹sdi²-,,You two,,,
Ꭱ¹Ꮧ²-,E¹di²-,"You all and I, we",him,,,
Ꭱ¹Ꮳ̣²-,E¹jạ²-,,You one,,,
Ꭱ¹Ꮵ²-,E¹ji²-,You all,him,,,
Ꭱ¹Ꮵ²-,E¹ji²-,,You all,,,
Ꭲ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-,I¹gạ²da²[d]-,"You all and I, we",ourselves,b,,
Ꭲ¹Ꭹ²-,I¹gi²-,He,"us, you all and me",,,
Ꭲ¹Ꭹ²-,I¹gi²-,"You all and I, we",it,b,,
Ꭲ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,I¹nạ²da²[d]-,"You one and I, we",ourselves,a,,
Ꭲ¹Ꮒ²-,I¹ni²-,"You one and I, we",it,a,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You all,me,,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You all,"us, him and me",,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You all,"us, them and me",,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You one,"us, them and me",,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You two,"us, them and me",,,
Ꭲ¹Ꮣ̣²Ꮣ²[Ꮣ͓]-,I¹dạ²da²[d]-,"You all and I, we",ourselves,a,,
Ꭲ¹Ꮧ²-,I¹di²-,"You all and I, we",it,a,,
Ꭲ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-,I¹jạ²da²[d]-,You all,yourselves,,,
Ꭲ¹Ꮵ²-,I¹ji²-,He,you all,,,
Ꭲ¹Ꮵ²-,I¹ji²-,You all,it,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","He and I, we",you all,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-",I,you all,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","They and I, we",you all,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","They and I, we",you one,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","They and I, we",you two,,,
Ꭳ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-,O¹gạ²da²[d]-,"They and I, we",ourselves,b,,
Ꭳ¹Ꭹ²-,O¹gi²-,He,"us, them and me",,,
Ꭳ¹Ꭹ²-,O¹gi²-,"They and I, we",it,b,,
Ꭳ¹Ꭹ²-,O¹gi²-,,"They and I, we",,,
Ꭳ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-,O¹gị²nạ²da²[d]-,"He and I, we",ourselves,b,,
Ꭳ¹Ꭹ̣²Ꮒ²-,O¹gị²ni²-,He,"us, him and me",,,
Ꭳ¹Ꭹ̣²Ꮒ²-,O¹gị²ni²-,"He and I, we",it,b,,
Ꭳ¹Ꭹ̣²Ꮒ²-,O¹gị²ni²-,,"He and I, we",,,
Ꭳ¹ᏍᏓ̣²Ꮣ²[Ꮣ͓]-,O¹sdạ²da²[d]-,"He and I, we",ourselves,a,,
Ꭳ¹ᏍᏗ²-,O¹sdi²-,"He and I, we",him,,,
Ꭳ¹ᏍᏗ²-,O²sdi²-,"He and I, we",it,a,,
Ꭳ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-,O¹jạ²da²[d]-,"They and I, we",ourselves,a,,
Ꭳ¹Ꮵ²-,O¹ji²-,"They and I, we",him,,,
Ꭳ¹Ꮵ²-,O¹ji²-,"They and I, we",it,a,,
"Ꭴ¹-, Ꭴ¹Ꮹ͓-","U¹-, U¹w-",He,him,b,,
"Ꭴ¹-, Ꭴ¹Ꮹ͓-","U¹-, U¹w-",He,it,b,,
Ꭴ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,U¹nạ²da²[d]-,They,themselves,b,,
Ꭴ¹Ꮒ²-,U¹ni²-,They,him,b,,
Ꭴ¹Ꮒ²-,U¹ni²-,They,it,b,,
Ꭴ¹Ꮣ²[Ꮣ͓]-,U¹da²[d]-,He,himself,b,,
"Ꭵ¹Ꭹ̣²-, Ꭵ¹Ꮖ͓-","V¹gị²-, V¹gw-",,I,,,
"Ꭶ̣²Ꭿ²-, Ꭶ̣²Ꭿ²Ꮿ͓-","Gạ²hi²-, Gạ²hi²y-",You one,them-animate,,,
Ꭶ̣²Ꮣ²[Ꮣ͓]-,Gạ²da²[d]-,I,myself,a,,
"Ꭶ̣²Ꮵ²-, ᎦᏥᏯ͓-","Gạ²ji-, Gạ²jiy-",I,them-animate,,,
Ꭸ²Ꭹ²-,Ge²gi²-,They,"us, you all and me",,,
Ꭸ²Ꭹ̣²Ꮒ²-,Ge²gị²ni²-,They,"us, you one and me",,,
Ꭸ²Ꮒ̣²-,Ge²ni²-,"You one and I, we",them-animate,,,
Ꭸ²ᏍᏗ²-,Ge²sdi²-,They,you two,,,
Ꭸ²ᏍᏗ²-,Ge²sdi²-,You two,them-animate,,,
Ꭸ²Ꮧ̣²-,Ge²di²-,"You all and I, we",them-animate,,,
Ꭸ²Ꮳ̣²-,Ge²jạ²-,They,you one,,,
Ꭸ²Ꮵ²-,Ge²ji²-,They,you all,,,
Ꭸ²Ꮵ²-,Ge²ji²-,You all,them-animate,,,
"Ꭸ²Ꮵ²-, Ꭸ²Ꭶ͓-","Ge²ji²-, Ge²g-",,They,,,
Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-,Gị²nạ²da²[d]-,"You one and I, we",ourselves,b,,
Ꭹ̣²Ꮒ²-,Gị²ni²-,He,"us, you one and me",,,
Ꭹ̣²Ꮒ²-,Gị²ni²-,"You one and I, we",it,b,,
Ꭺ²Ꭹ²-,Go²gi²-,They,"us, them and me",,,
Ꭺ²Ꭹ̣²Ꮒ²-,Go²gị²ni²-,They,"us, him and me",,,
Ꭺ²ᏍᏗ²-,Go²sdi²-,"He and I, we",them-animate,,,
Ꭺ²Ꮵ²-,Go²ji²-,"They and I, we",them-animate,,,
"Ꭼ²-, Ꭼ²Ꮿ͓-","Gv²-, Gv²y-",I,you one,,,
"Ꭼ²Ꭹ̣²-, Ꭼ²Ꮖ͓-","Gv²gi²-, Gv²gw-",They,me,,,
Ꭽ̣²Ꮣ²[Ꮣ͓]-,Hạ²da²[d]-,You one,yourself,a,,
Ꭿ̣²-,Hị²-,You one,it,a,,
"Ꭿ²-, Ꭿ²Ꮿ͓-","Hi²-, Hi²y-",You one,him,,,
"ᏍᎩ̣²-, ᏍᏆ͓-","Sgị²-, Sgw-",You one,me,,,
ᏍᎩ̣²Ꮒ²-,Sgị²ni²-,You one,"us, him and me",,,
ᏍᎩ̣²Ꮒ²-,Sgị²ni²-,You two,me,,,
ᏍᎩ̣²Ꮒ²-,Sgi²̣ni²-,You two,"us, him and me",,,
ᏍᏓ̣²Ꮣ²[Ꮣ͓]-,Sdạ²da²[d]-,You two,yourselves,,,
ᏍᏗ²-,Sdi²-,He,you two,,,
ᏍᏗ²-,Sdi²-,You two,it,,,
"ᏍᏛ²-, ᏍᏛ²Ꮿ͓-","Sdv²-, Sdv²y-","He and I, we",you one,,,
"ᏍᏛ²-, ᏍᏛ²Ꮿ͓-","Sdv²-, Sdv²y-","He and I, we",you two,,,
"ᏍᏛ²-, ᏍᏛ²Ꮿ͓-","Sdv²-, Sdv²y-",I,you two,,,
"Ꮣ¹Ꭹ²-, Ꮣ¹Ꮖ͓-","Da¹gị²-, Da¹gw-",I,them-inanimate,b,"Ꮧ̣¹Ꭹ̣²-, Ꮧ̣¹Ꮖ͓-","Dị¹gị²-, Dị¹gw-"
